Image Index,ROI1 Blue Intensity LOWESS,ROI2 Blue Intensity LOWESS,ROI3 Blue Intensity LOWESS,ROI4 Blue Intensity LOWESS,ROI5 Blue Intensity LOWESS,R1,R2,ROI3 Blue Intensity LOWESS,R4,R5,,,,,
1,54.19819036,40.45093696,33.62349785,38.26251475,45.02018325,33.62350036,33.62349796,33.62349785,33.62349775,33.62349325,,20.57469251,6.827439105,4.639016896,11.39668539
2,54.2016305,40.45094248,33.62288887,38.26188875,45.01621104,33.6269405,33.62350348,33.62288887,33.62287175,33.61952104,,,,,
3,54.2050918,40.45093497,33.62226332,38.26124879,45.01222391,33.6304018,33.62349597,33.62226332,33.62223179,33.61553391,,,,,
4,54.20857534,40.45091473,33.62162147,38.26059513,45.00822221,33.63388534,33.62347573,33.62162147,33.62157813,33.61153221,,,,,
5,54.21208229,40.45088214,33.62096363,38.25992813,45.00420635,33.63739229,33.62344314,33.62096363,33.62091113,33.60751635,,,,,
6,54.21561392,40.45083764,33.62029019,38.25924817,45.00017686,33.64092392,33.62339864,33.62029019,33.62023117,33.60348686,,,,,
7,54.21917151,40.4507817,33.61960157,38.25855563,44.99613426,33.64448151,33.6233427,33.61960157,33.61953863,33.59944426,,,,,
8,54.22275625,40.45071471,33.61889816,38.25785079,44.99207899,33.64806625,33.62327571,33.61889816,33.61883379,33.59538899,,,,,
9,54.22636937,40.45063706,33.61818036,38.25713392,44.9880115,33.65167937,33.62319806,33.61818036,33.61811692,33.5913215,,,,,
10,54.23001206,40.45054906,33.61744855,38.25640524,44.98393216,33.65532206,33.62311006,33.61744855,33.61738824,33.58724216,,,,,
11,54.23368556,40.45045109,33.61670318,38.25566505,44.97984146,33.65899556,33.62301209,33.61670318,33.61664805,33.58315146,,,,,
12,54.23739118,40.45034359,33.61594478,38.25491372,44.97574001,33.66270118,33.62290459,33.61594478,33.61589672,33.57905001,,,,,
13,54.24113021,40.45022696,33.6151738,38.25415159,44.97162842,33.66644021,33.62278796,33.6151738,33.61513459,33.57493842,,,,,
14,54.24490389,40.45010154,33.61439064,38.25337897,44.96750726,33.67021389,33.62266254,33.61439064,33.61436197,33.57081726,,,,,
15,54.24871348,40.44996774,33.61359573,38.25259622,44.96337719,33.67402348,33.62252874,33.61359573,33.61357922,33.56668719,,,,,
16,54.25256018,40.44982589,33.61278942,38.25180363,44.95923873,33.67787018,33.62238689,33.61278942,33.61278663,33.56254873,,,,,
17,54.25644506,40.44967627,33.611972,38.25100138,44.95509234,33.68175506,33.62223727,33.611972,33.61198438,33.55840234,,,,,
18,54.2603692,40.44951917,33.6111438,38.25018966,44.95093849,33.6856792,33.62208017,33.6111438,33.61117266,33.55424849,,,,,
19,54.2643336,40.44935486,33.61030514,38.24936859,44.94677764,33.6896436,33.62191586,33.61030514,33.61035159,33.55008764,,,,,
20,54.26833921,40.44918362,33.60945634,38.24853833,44.94261027,33.69364921,33.62174462,33.60945634,33.60952133,33.54592027,,,,,
21,54.27238691,40.44900564,33.60859762,38.24769896,44.93843678,33.69769691,33.62156664,33.60859762,33.60868196,33.54174678,,,,,
22,54.27647748,40.44882103,33.60772914,38.24685052,44.9342575,33.70178748,33.62138203,33.60772914,33.60783352,33.5375675,,,,,
23,54.28061173,40.44862994,33.60685105,38.24599305,44.93007281,33.70592173,33.62119094,33.60685105,33.60697605,33.53338281,,,,,
24,54.28479053,40.44843254,33.60596359,38.24512665,44.92588309,33.71010053,33.62099354,33.60596359,33.60610965,33.52919309,,,,,
25,54.28901467,40.44822899,33.60506693,38.24425138,44.92168873,33.71432467,33.62078999,33.60506693,33.60523438,33.52499873,,,,,
26,54.29328499,40.44801948,33.60416131,38.24336732,44.91749011,33.71859499,33.62058048,33.60416131,33.60435032,33.52080011,,,,,
27,54.29760247,40.44780436,33.60324712,38.24247473,44.91328778,33.72291247,33.62036536,33.60324712,33.60345773,33.51659778,,,,,
28,54.3019686,40.44758435,33.60232509,38.2415742,44.90908248,33.7272786,33.62014535,33.60232509,33.6025572,33.51239248,,,,,
29,54.30638475,40.44736016,33.6013959,38.24066624,44.90487487,33.73169475,33.61992116,33.6013959,33.60164924,33.50818487,,,,,
30,54.31085209,40.44713236,33.6004601,38.2397512,44.90066541,33.73616209,33.61969336,33.6004601,33.6007342,33.50397541,,,,,
31,54.31537167,40.44690143,33.59951817,38.23882931,44.89645442,33.74068167,33.61946243,33.59951817,33.59981231,33.49976442,,,,,
32,54.31994438,40.44666773,33.59857044,38.2379007,44.89224208,33.74525438,33.61922873,33.59857044,33.5988837,33.49555208,,,,,
33,54.32457103,40.44643156,33.59761721,38.23696546,44.88802856,33.74988103,33.61899256,33.59761721,33.59794846,33.49133856,,,,,
34,54.32925237,40.44619315,33.59665867,38.23602361,44.88381391,33.75456237,33.61875415,33.59665867,33.59700661,33.48712391,,,,,
35,54.33398918,40.44595276,33.59569504,38.23507519,44.87959827,33.75929918,33.61851376,33.59569504,33.59605819,33.48290827,,,,,
36,54.33878228,40.44571073,33.59472654,38.23412029,44.87538181,33.76409228,33.61827173,33.59472654,33.59510329,33.47869181,,,,,
37,54.34363242,40.44546734,33.59375339,38.23315897,44.87116462,33.76894242,33.61802834,33.59375339,33.59414197,33.47447462,,,,,
38,54.34854036,40.44522292,33.59277574,38.2321913,44.86694677,33.77385036,33.61778392,33.59277574,33.5931743,33.47025677,,,,,
39,54.35350677,40.44497768,33.59179367,38.23121732,44.86272827,33.77881677,33.61753868,33.59179367,33.59220032,33.46603827,,,,,
40,54.35853221,40.44473178,33.59080717,38.23023698,44.85850902,33.78384221,33.61729278,33.59080717,33.59121998,33.46181902,,,,,
41,54.36361721,40.44448533,33.58981624,38.22925024,44.85428895,33.78892721,33.61704633,33.58981624,33.59023324,33.45759895,,,,,
42,54.36876229,40.44423838,33.58882083,38.22825701,44.85006791,33.79407229,33.61679938,33.58882083,33.58924001,33.45337791,,,,,
43,54.37396801,40.44399104,33.58782093,38.22725726,44.84584579,33.79927801,33.61655204,33.58782093,33.58824026,33.44915579,,,,,
44,54.37923498,40.44374345,33.58681657,38.226251,44.84162243,33.80454498,33.61630445,33.58681657,33.587234,33.44493243,,,,,
45,54.38456379,40.44349569,33.58580777,38.22523824,44.83739766,33.80987379,33.61605669,33.58580777,33.58622124,33.44070766,,,,,
46,54.38995513,40.4432479,33.58479461,38.22421909,44.83317134,33.81526513,33.6158089,33.58479461,33.58520209,33.43648134,,,,,
47,54.39540972,40.44300027,33.58377715,38.22319368,44.82894335,33.82071972,33.61556127,33.58377715,33.58417668,33.43225335,,,,,
48,54.40092822,40.44275294,33.58275546,38.22216212,44.82471353,33.82623822,33.61531394,33.58275546,33.58314512,33.42802353,,,,,
49,54.40651134,40.44250612,33.58172961,38.22112457,44.82048176,33.83182134,33.61506712,33.58172961,33.58210757,33.42379176,,,,,
50,54.41215978,40.44226003,33.58069971,38.22008122,44.81624793,33.83746978,33.61482103,33.58069971,33.58106422,33.41955793,,,,,
51,54.41787421,40.44201485,33.57966583,38.2190322,44.81201194,33.84318421,33.61457585,33.57966583,33.5800152,33.41532194,,,,,
52,54.42365533,40.44177076,33.57862803,38.21797766,44.80777363,33.84896533,33.61433176,33.57862803,33.57896066,33.41108363,,,,,
53,54.42950375,40.44152794,33.57758635,38.21691767,44.80353283,33.85481375,33.61408894,33.57758635,33.57790067,33.40684283,,,,,
54,54.43542012,40.44128657,33.57654082,38.21585232,44.79928931,33.86073012,33.61384757,33.57654082,33.57683532,33.40259931,,,,,
55,54.441405,40.4410468,33.57549137,38.21478158,44.7950428,33.866715,33.6136078,33.57549137,33.57576458,33.3983528,,,,,
56,54.44745887,40.44080867,33.57443788,38.21370539,44.79079293,33.87276887,33.61336967,33.57443788,33.57468839,33.39410293,,,,,
57,54.45358218,40.44057224,33.57338023,38.21262368,44.78653935,33.87889218,33.61313324,33.57338023,33.57360668,33.38984935,,,,,
58,54.45977528,40.44033748,33.57231821,38.21153629,44.78228164,33.88508528,33.61289848,33.57231821,33.57251929,33.38559164,,,,,
59,54.4660384,40.44010421,33.57125155,38.21044297,44.77801934,33.8913484,33.61266521,33.57125155,33.57142597,33.38132934,,,,,
60,54.47237175,40.43987229,33.57018,38.20934349,44.773752,33.89768175,33.61243329,33.57018,33.57032649,33.377062,,,,,
61,54.47877546,40.43964149,33.56910326,38.20823752,44.76947914,33.90408546,33.61220249,33.56910326,33.56922052,33.37278914,,,,,
62,54.48524952,40.43941148,33.56802093,38.20712461,44.76520018,33.91055952,33.61197248,33.56802093,33.56810761,33.36851018,,,,,
63,54.49179396,40.43918194,33.56693264,38.20600434,44.76091454,33.91710396,33.61174294,33.56693264,33.56698734,33.36422454,,,,,
64,54.49840872,40.43895249,33.56583793,38.20487625,44.7566216,33.92371872,33.61151349,33.56583793,33.56585925,33.3599316,,,,,
65,54.50509382,40.43872278,33.56473643,38.20373994,44.75232078,33.93040382,33.61128378,33.56473643,33.56472294,33.35563078,,,,,
66,54.51184931,40.43849249,33.56362779,38.20259507,44.74801156,33.93715931,33.61105349,33.56362779,33.56357807,33.35132156,,,,,
67,54.51867517,40.43826129,33.56251166,38.20144126,44.74369339,33.94398517,33.61082229,33.56251166,33.56242426,33.34700339,,,,,
68,54.52557148,40.43802887,33.5613877,38.20027822,44.73936576,33.95088148,33.61058987,33.5613877,33.56126122,33.34267576,,,,,
69,54.5325383,40.43779498,33.56025556,38.19910568,44.73502818,33.9578483,33.61035598,33.56025556,33.56008868,33.33833818,,,,,
70,54.53957564,40.43755928,33.55911487,38.19792334,44.73068012,33.96488564,33.61012028,33.55911487,33.55890634,33.33399012,,,,,
71,54.54668345,40.43732145,33.55796527,38.19673091,44.72632102,33.97199345,33.60988245,33.55796527,33.55771391,33.32963102,,,,,
72,54.55386154,40.43708112,33.5568063,38.19552802,44.72195028,33.97917154,33.60964212,33.5568063,33.55651102,33.32526028,,,,,
73,54.56110972,40.43683796,33.55563753,38.19431433,44.71756723,33.98641972,33.60939896,33.55563753,33.55529733,33.32087723,,,,,
74,54.56842761,40.43659151,33.55445838,38.19308937,44.71317109,33.99373761,33.60915251,33.55445838,33.55407237,33.31648109,,,,,
75,54.57581468,40.4363412,33.55326814,38.19185256,44.70876086,34.00112468,33.6089022,33.55326814,33.55283556,33.31207086,,,,,
76,54.58327031,40.4360864,33.5520661,38.1906033,44.70433548,34.00858031,33.6086474,33.5520661,33.5515863,33.30764548,,,,,
77,54.5907937,40.43582638,33.55085142,38.18934091,44.69989375,34.0161037,33.60838738,33.55085142,33.55032391,33.30320375,,,,,
78,54.59838382,40.43556028,33.54962313,38.18806458,44.69543433,34.02369382,33.60812128,33.54962313,33.54904758,33.29874433,,,,,
79,54.60603946,40.4352873,33.54838024,38.18677346,44.69095585,34.03134946,33.6078483,33.54838024,33.54775646,33.29426585,,,,,
80,54.61375923,40.43500652,33.54712164,38.18546664,44.68645686,34.03906923,33.60756752,33.54712164,33.54644964,33.28976686,,,,,
81,54.62154165,40.4347171,33.54584624,38.18414326,44.68193587,34.04685165,33.6072781,33.54584624,33.54512626,33.28524587,,,,,
82,54.62938517,40.43441817,33.54455293,38.18280247,44.67739139,34.05469517,33.60697917,33.54455293,33.54378547,33.28070139,,,,,
83,54.63728794,40.43410873,33.54324047,38.18144332,44.67282172,34.06259794,33.60666973,33.54324047,33.54242632,33.27613172,,,,,
84,54.6452479,40.4337877,33.54190751,38.18006475,44.66822499,34.0705579,33.6063487,33.54190751,33.54104775,33.27153499,,,,,
85,54.65326283,40.43345393,33.54055261,38.1786657,44.66359924,34.07857283,33.60601493,33.54055261,33.5396487,33.26690924,,,,,
86,54.66133024,40.43310617,33.53917417,38.177245,44.65894223,34.08664024,33.60566717,33.53917417,33.538228,33.26225223,,,,,
87,54.66944743,40.43274305,33.53777042,38.17580138,44.65425159,34.09475743,33.60530405,33.53777042,33.53678438,33.25756159,,,,,
88,54.67761145,40.43236307,33.5363394,38.1743334,44.64952473,34.10292145,33.60492407,33.5363394,33.5353164,33.25283473,,,,,
89,54.68581918,40.43196458,33.53487898,38.17283953,44.64475885,34.11112918,33.60452558,33.53487898,33.53382253,33.24806885,,,,,
90,54.6940674,40.4315458,33.53338692,38.17131811,44.63995099,34.1193774,33.6041068,33.53338692,33.53230111,33.24326099,,,,,
91,54.70235256,40.4311046,33.53186063,38.16976729,44.63509787,34.12766256,33.6036656,33.53186063,33.53075029,33.23840787,,,,,
92,54.71067104,40.43063866,33.53029733,38.16818509,44.63019601,34.13598104,33.60319966,33.53029733,33.52916809,33.23350601,,,,,
93,54.71901917,40.43014547,33.52869398,38.16656939,44.62524164,34.14432917,33.60270647,33.52869398,33.52755239,33.22855164,,,,,
94,54.72739315,40.42962213,33.5270471,38.16491778,44.62023056,34.15270315,33.60218313,33.5270471,33.52590078,33.22354056,,,,,
95,54.73578929,40.42906549,33.52535288,38.16322762,44.61515815,34.16109929,33.60162649,33.52535288,33.52421062,33.21846815,,,,,
96,54.74420406,40.42847195,33.52360703,38.16149588,44.61001934,34.16951406,33.60103295,33.52360703,33.52247888,33.21332934,,,,,
97,54.75263418,40.42783743,33.52180461,38.1597191,44.60480846,34.17794418,33.60039843,33.52180461,33.5207021,33.20811846,,,,,
98,54.76107705,40.42715747,33.51994015,38.15789346,44.59951943,34.18638705,33.59971847,33.51994015,33.51887646,33.20282943,,,,,
99,54.76953092,40.42642698,33.5180075,38.15601463,44.59414549,34.19484092,33.59898798,33.5180075,33.51699763,33.19745549,,,,,
100,54.77799526,40.42564034,33.51599971,38.1540777,44.58867919,34.20330526,33.59820134,33.51599971,33.5150607,33.19198919,,,,,
101,54.78647163,40.42479154,33.51390928,38.15207732,44.58311276,34.21178163,33.59735254,33.51390928,33.51306032,33.18642276,,,,,
102,54.79496432,40.42387425,33.51172806,38.15000773,44.57743811,34.22027432,33.59643525,33.51172806,33.51099073,33.18074811,,,,,
103,54.80348141,40.42288219,33.50944773,38.14786309,44.57164739,34.22879141,33.59544319,33.50944773,33.50884609,33.17495739,,,,,
104,54.81203586,40.42180946,33.50706003,38.14563767,44.56573328,34.23734586,33.59437046,33.50706003,33.50662067,33.16904328,,,,,
105,54.82064647,40.42065069,33.50455713,38.14332608,44.55968941,34.24595647,33.59321169,33.50455713,33.50430908,33.16299941,,,,,
106,54.82933937,40.419402,33.50193247,38.14092403,44.55351155,34.25464937,33.591963,33.50193247,33.50190703,33.15682155,,,,,
107,54.8381493,40.41806195,33.49918196,38.13842927,44.5471989,34.2634593,33.59062295,33.49918196,33.49941227,33.1505089,,,,,
108,54.84712062,40.41663287,33.49630556,38.13584288,44.54075587,34.27243062,33.58919387,33.49630556,33.49682588,33.14406587,,,,,
109,54.85630749,40.41512243,33.4933093,38.13317088,44.53419428,34.28161749,33.58768343,33.4933093,33.49415388,33.13750428,,,,,
110,54.86577261,40.41354547,33.49020759,38.13042626,44.527536,34.29108261,33.58610647,33.49020759,33.49140926,33.130846,,,,,
111,54.87558471,40.41192656,33.48702662,38.12763178,44.52081637,34.30089471,33.58448756,33.48702662,33.48861478,33.12412637,,,,,
112,54.90756615,40.41236299,33.48413958,38.12449424,44.5145416,34.33287615,33.58492399,33.48413958,33.48547724,33.1178516,,,,,
113,54.94187121,40.41303719,33.48131303,38.1213657,44.50833802,34.36718121,33.58559819,33.48131303,33.4823487,33.11164802,,,,,
114,54.97864052,40.41396381,33.4785529,38.11824719,44.50221152,34.40395052,33.58652481,33.4785529,33.47923019,33.10552152,,,,,
115,55.01801573,40.41515604,33.47586369,38.1151382,44.49616652,34.44332573,33.58771704,33.47586369,33.4761212,33.09947652,,,,,
116,55.06014289,40.41662781,33.47324973,38.11203792,44.49020709,34.48545289,33.58918881,33.47324973,33.47302092,33.09351709,,,,,
117,55.10517057,40.41839241,33.47071392,38.10894476,44.48433604,34.53048057,33.59095341,33.47071392,33.46992776,33.08764604,,,,,
118,55.15324956,40.42046382,33.46825905,38.10585735,44.47855604,34.57855956,33.59302482,33.46825905,33.46684035,33.08186604,,,,,
119,55.20453327,40.42285806,33.46588817,38.1027756,44.47287022,34.62984327,33.59541906,33.46588817,33.4637586,33.07618022,,,,,
120,55.25917688,40.42559254,33.46360477,38.09970061,44.46728283,34.68448688,33.59815354,33.46360477,33.46068361,33.07059283,,,,,
121,55.31733206,40.42868759,33.46141321,38.0966344,44.46179826,34.74264206,33.60124859,33.46141321,33.4576174,33.06510826,,,,,
122,55.37914542,40.43216661,33.45931898,38.09357968,44.45642106,34.80445542,33.60472761,33.45931898,33.45456268,33.05973106,,,,,
123,55.44476485,40.43605389,33.45732805,38.09053946,44.45115588,34.87007485,33.60861489,33.45732805,33.45152246,33.05446588,,,,,
124,55.51433872,40.4403744,33.45544634,38.08751686,44.44600677,34.93964872,33.6129354,33.45544634,33.44849986,33.04931677,,,,,
125,55.58801062,40.44515564,33.45368036,38.08451502,44.44097736,35.01332062,33.61771664,33.45368036,33.44549802,33.04428736,,,,,
126,55.6659244,40.4504259,33.45203638,38.08153728,44.43607096,35.0912344,33.6229869,33.45203638,33.44252028,33.03938096,,,,,
127,55.74822498,40.45621353,33.4505202,38.07858667,44.43129025,35.17353498,33.62877453,33.4505202,33.43956967,33.03460025,,,,,
128,55.83505641,40.4625458,33.44913612,38.07566509,44.42663604,35.26036641,33.6351068,33.44913612,33.43664809,33.02994604,,,,,
129,55.92655992,40.4694507,33.44788773,38.07277435,44.42210835,35.35186992,33.6420117,33.44788773,33.43375735,33.02541835,,,,,
130,56.0228672,40.47695921,33.44677892,38.06991634,44.41770695,35.4481772,33.64952021,33.44677892,33.43089934,33.02101695,,,,,
131,56.12410808,40.48510339,33.44581371,38.06709301,44.4134308,35.54941808,33.65766439,33.44581371,33.42807601,33.0167408,,,,,
132,56.23040925,40.49391668,33.44499653,38.06430646,44.4092786,35.65571925,33.66647768,33.44499653,33.42528946,33.0125886,,,,,
133,56.34188542,40.50343601,33.44433258,38.06155886,44.40524859,35.76719542,33.67599701,33.44433258,33.42254186,33.00855859,,,,,
134,56.45864572,40.51369936,33.44382626,38.05885129,44.40133738,35.88395572,33.68626036,33.44382626,33.41983429,33.00464738,,,,,
135,56.58078905,40.52475104,33.44348357,38.05618571,44.39754217,36.00609905,33.69731204,33.44348357,33.41716871,33.00085217,,,,,
136,56.70840398,40.53664033,33.44331094,38.05356455,44.39385996,36.13371398,33.70920133,33.44331094,33.41454755,32.99716996,,,,,
137,56.84157438,40.54941599,33.44331252,38.05098806,44.39028505,36.26688438,33.72197699,33.44331252,33.41197106,32.99359505,,,,,
138,56.98037011,40.56312581,33.44348759,38.0484517,44.38680795,36.40568011,33.73568681,33.44348759,33.4094347,32.99011795,,,,,
139,57.12486006,40.57781747,33.44383428,38.04595068,44.38341855,36.55017006,33.75037847,33.44383428,33.40693368,32.98672855,,,,,
140,57.27511351,40.59354115,33.44435079,38.04348124,44.38010724,36.70042351,33.76610215,33.44435079,33.40446424,32.98341724,,,,,
141,57.43119274,40.61035539,33.44503681,38.04104143,44.37686621,36.85650274,33.78291639,33.44503681,33.40202443,32.98017621,,,,,
142,57.59316045,40.62832247,33.44589305,38.03863001,44.37368832,37.01847045,33.80088347,33.44589305,33.39961301,32.97699832,,,,,
143,57.76107847,40.64750856,33.44692022,38.03624511,44.37056589,37.18638847,33.82006956,33.44692022,33.39722811,32.97387589,,,,,
144,57.93500202,40.66799092,33.44812168,38.03388677,44.36749311,37.36031202,33.84055192,33.44812168,33.39486977,32.97080311,,,,,
145,58.11498411,40.68984979,33.44950049,38.03155437,44.36446324,37.54029411,33.86241079,33.44950049,33.39253737,32.96777324,,,,,
146,58.30107564,40.71316962,33.45105896,38.02924594,44.36146815,37.72638564,33.88573062,33.45105896,33.39022894,32.96477815,,,,,
147,58.49331997,40.73805025,33.45280202,38.02696152,44.35850174,37.91862997,33.91061125,33.45280202,33.38794452,32.96181174,,,,,
148,58.69175351,40.76460618,33.45473661,38.02470215,44.3555594,38.11706351,33.93716718,33.45473661,33.38568515,32.9588694,,,,,
149,58.89641176,40.79296103,33.45687105,38.02246965,44.35263717,38.32172176,33.96552203,33.45687105,33.38345265,32.95594717,,,,,
150,59.107326,40.82325085,33.45921605,38.02026804,44.34973283,38.532636,33.99581185,33.45921605,33.38125104,32.95304283,,,,,
151,59.32452538,40.85561503,33.46178171,38.0181011,44.34684358,38.74983538,34.02817603,33.46178171,33.3790841,32.95015358,,,,,
152,59.54803769,40.89019856,33.46457856,38.01597237,44.34396698,38.97334769,34.06275956,33.46457856,33.37695537,32.94727698,,,,,
153,59.77788461,40.92715566,33.46761798,38.01388555,44.34110073,39.20319461,34.09971666,33.46761798,33.37486855,32.94441073,,,,,
154,60.01408336,40.96664369,33.47090985,38.01184302,44.33824147,39.43939336,34.13920469,33.47090985,33.37282602,32.94155147,,,,,
155,60.25664831,41.00882553,33.4744642,38.00984686,44.33538644,39.68195831,34.18138653,33.4744642,33.37082986,32.93869644,,,,,
156,60.50558729,41.05387032,33.47829232,38.00789898,44.33253326,39.93089729,34.22643132,33.47829232,33.36888198,32.93584326,,,,,
157,60.76090217,41.10194948,33.48240531,38.00600004,44.32967869,40.18621217,34.27451048,33.48240531,33.36698304,32.93298869,,,,,
158,61.02259006,41.15323795,33.48681667,38.00415175,44.32682094,40.44790006,34.32579895,33.48681667,33.36513475,32.93013094,,,,,
159,61.29064259,41.2079118,33.49153863,38.00235423,44.32395653,40.71595259,34.3804728,33.49153863,33.36333723,32.92726653,,,,,
160,61.56504481,41.26614676,33.49658227,38.00060582,44.32108028,40.99035481,34.43870776,33.49658227,33.36158882,32.92439028,,,,,
161,61.84577615,41.32811583,33.50196217,37.99890619,44.31818888,41.27108615,34.50067683,33.50196217,33.35988919,32.92149888,,,,,
162,62.13280985,41.39398791,33.50769513,37.99725561,44.31527981,41.55811985,34.56654891,33.50769513,33.35823861,32.91858981,,,,,
163,62.42611372,41.46393258,33.51379826,37.99565441,44.31235126,41.85142372,34.63649358,33.51379826,33.35663741,32.91566126,,,,,
164,62.72564951,41.53811821,33.52028908,37.99410238,44.3094009,42.15095951,34.71067921,33.52028908,33.35508538,32.9127109,,,,,
165,63.03137365,41.61670652,33.52718864,37.99260112,44.30642807,42.45668365,34.78926752,33.52718864,33.35358412,32.90973807,,,,,
166,63.34323558,41.69985886,33.53451909,37.99115259,44.30343225,42.76854558,34.87241986,33.53451909,33.35213559,32.90674225,,,,,
167,63.66117692,41.78773661,33.5423023,37.98975787,44.30041188,43.08648692,34.96029761,33.5423023,33.35074087,32.90372188,,,,,
168,63.98512989,41.88050103,33.5505602,37.98841827,44.29736494,43.41043989,35.05306203,33.5505602,33.34940127,32.90067494,,,,,
169,64.31501856,41.97830941,33.5593165,37.98713591,44.29429009,43.74032856,35.15087041,33.5593165,33.34811891,32.89760009,,,,,
170,64.65076172,42.08130488,33.56859959,37.98591384,44.29118612,44.07607172,35.25386588,33.56859959,33.34689684,32.89449612,,,,,
171,64.99227188,42.1896238,33.57844123,37.98475655,44.28805268,44.41758188,35.3621848,33.57844123,33.34573955,32.89136268,,,,,
172,65.33945978,42.30338493,33.58888066,37.98367135,44.28489187,44.76476978,35.47594593,33.58888066,33.34465435,32.88820187,,,,,
173,65.69223302,42.42269003,33.59996341,37.98266685,44.28170696,45.11754302,35.59525103,33.59996341,33.34364985,32.88501696,,,,,
174,66.05049266,42.54763628,33.6117387,37.98175225,44.27850185,45.47580266,35.72019728,33.6117387,33.34273525,32.88181185,,,,,
175,66.41413703,42.67830305,33.62426267,37.9809374,44.27528026,45.83944703,35.85086405,33.62426267,33.3419204,32.87859026,,,,,
176,66.78306215,42.81475407,33.63759822,37.98023241,44.27204564,46.20837215,35.98731507,33.63759822,33.34121541,32.87535564,,,,,
177,67.15715804,42.95705231,33.6518117,37.97964731,44.26880168,46.58246804,36.12961331,33.6518117,33.34063031,32.87211168,,,,,
178,67.5363104,43.10525144,33.66697543,37.97919186,44.26555123,46.9616204,36.27781244,33.66697543,33.34017486,32.86886123,,,,,
179,67.92039374,43.25940818,33.68316136,37.97887431,44.26229529,47.34570374,36.43196918,33.68316136,33.33985731,32.86560529,,,,,
180,68.30927587,43.41958261,33.70044388,37.97870272,44.25903497,47.73458587,36.59214361,33.70044388,33.33968572,32.86234497,,,,,
181,68.70282647,43.58582152,33.71890736,37.97868614,44.255772,48.12813647,36.75838252,33.71890736,33.33966914,32.859082,,,,,
182,69.10091777,43.75816106,33.73864683,37.97883547,44.25250986,48.52622777,36.93072206,33.73864683,33.33981847,32.85581986,,,,,
183,69.50341755,43.93663998,33.75976084,37.97916115,44.24925129,48.92872755,37.10920098,33.75976084,33.34014415,32.85256129,,,,,
