Image Index,ROI Index,Blue Intensity,Avg H,Avg S,Avg V,Avg R,Avg G,Avg B
211,1,66.7772932330827,117.35364661654135,139.76094611528822,67.42954260651629,34.05775689223058,34.47984962406015,66.7772932330827
212,1,59.8618671679198,119.04230576441103,138.7047305764411,60.70547619047619,32.33920426065163,30.12565162907268,59.8618671679198
213,1,66.40794486215539,116.9153947368421,139.53855263157894,67.08674812030075,33.659028822055134,34.47775062656642,66.40794486215539
214,1,66.88461152882205,117.99055137844611,139.6572493734336,67.53086466165414,34.32156015037594,34.0719298245614,66.88461152882205
215,1,66.83045739348371,117.77602130325815,139.0845426065163,67.4890350877193,34.33449248120301,34.23825187969925,66.83045739348371
216,1,254.99645989974937,124.12224310776942,12.36687343358396,255.0,247.84119047619046,246.85,254.99645989974937
217,1,67.18058270676691,117.9023872180451,139.76641604010024,67.77972431077694,34.302612781954885,34.20798872180451,67.18058270676691
218,1,67.22348370927318,117.88803258145363,140.68227443609024,67.84668546365914,34.17172305764411,34.20125313283208,67.22348370927318
219,1,66.93894736842105,117.7556015037594,139.94879072681704,67.56261278195488,34.11568295739348,34.17145363408521,66.93894736842105
220,1,67.03607769423559,118.00751253132832,140.05989974937344,67.67339598997494,34.30451127819549,34.167086466165415,67.03607769423559
221,1,60.328690476190474,118.74639097744361,138.88550125313284,61.138966165413535,32.336936090225564,30.569110275689223,60.328690476190474
222,1,66.60040100250626,117.50070802005013,139.35481829573934,67.24519423558897,33.97058270676692,34.324473684210524,66.60040100250626
223,1,60.05962406015038,118.620664160401,138.2381203007519,60.8853007518797,32.40589598997494,30.571760651629074,60.05962406015038
224,1,66.9003320802005,117.88260025062657,140.14120300751878,67.5453320802005,34.16529448621554,34.0566604010025,66.9003320802005
225,1,60.640977443609025,118.61416666666666,138.6488596491228,61.50402882205514,32.54902255639098,30.60857769423559,60.640977443609025
226,1,66.88788847117794,117.3568984962406,139.38609649122807,67.59477443609022,34.148533834586466,34.54917919799499,66.88788847117794
227,1,60.44505012531328,119.06727443609023,138.13001253132833,61.254617794486215,32.70572055137845,30.552763157894738,60.44505012531328
228,1,66.94554511278196,117.335,139.83850250626566,67.59015037593986,33.995413533834586,34.2633709273183,66.94554511278196
229,1,58.94438596491228,118.49763784461153,137.84833333333333,59.824974937343356,32.06790100250627,30.03887218045113,58.94438596491228
230,1,66.81592105263158,117.94834586466166,140.50625939849624,67.42129072681705,33.854805764411026,33.85733709273183,66.81592105263158
231,1,66.53233709273184,117.31671679197996,140.34937343358396,67.16570802005012,33.55834586466165,34.283953634085215,66.53233709273184
232,1,66.76979949874686,117.66260651629072,140.84929824561402,67.40012531328321,33.7440977443609,33.94185463659148,66.76979949874686
233,1,66.69214285714285,117.79333333333334,140.6158082706767,67.31536967418546,33.77838972431078,33.914605263157895,66.69214285714285
234,1,66.65028195488722,117.54813909774435,140.40369674185465,67.33646616541354,33.78724310776942,34.002825814536344,66.65028195488722
235,1,66.7777694235589,117.45477443609022,140.60661027568923,67.43543859649122,33.67269423558897,34.142631578947366,66.7777694235589
236,1,66.61456766917293,117.64934210526316,140.4793170426065,67.2781954887218,33.80075814536341,34.000482456140354,66.61456766917293
237,1,66.6114411027569,117.56152882205514,140.6115664160401,67.20160401002506,33.44474937343358,34.01844611528822,66.6114411027569
238,1,60.70033834586466,118.84463032581453,139.12782581453635,61.4621992481203,32.32435463659148,30.454317042606515,60.70033834586466
239,1,66.78132205513785,117.98662280701754,140.4216478696742,67.3664097744361,33.78365914786968,33.94538220551379,66.78132205513785
240,1,60.60363408521303,118.9408709273183,140.02580200501254,61.357092731829574,32.27872180451128,30.22672305764411,60.60363408521303
241,1,66.9354761904762,117.6524060150376,141.25932330827067,67.5331015037594,33.61471177944862,33.86322055137845,66.9354761904762
242,1,60.42291979949875,118.93974310776942,139.93609649122806,61.21426691729323,32.10649749373434,30.06364661654135,60.42291979949875
243,1,67.25748120300752,118.16241854636591,141.1460902255639,67.80274436090225,33.867105263157896,33.808051378446116,67.25748120300752
244,1,59.997424812030076,118.76191102756893,139.4913596491228,60.840989974937344,32.052449874686715,30.268671679197993,59.997424812030076
245,1,67.16286967418546,118.1606328320802,141.8215162907268,67.73531954887218,33.78661654135338,33.910438596491225,67.16286967418546
246,1,60.24176065162907,118.92422305764411,139.16565789473685,61.07151629072682,32.21474310776942,30.115921052631577,60.24176065162907
247,1,67.16541353383458,118.03476190476191,141.73342105263157,67.75703634085212,33.76830200501253,33.780419799498745,67.16541353383458
248,1,67.4985275689223,118.29528822055138,142.46720551378445,68.0327694235589,33.642600250626565,33.63332706766917,67.4985275689223
249,1,66.9840664160401,117.81191729323308,142.18600877192983,67.58014411027568,33.40584586466166,33.69489348370927,66.9840664160401
250,1,66.89620927318296,117.79863408521304,142.20145989974938,67.51651002506266,33.54254385964912,33.673339598997494,66.89620927318296
251,1,67.00201754385965,117.99962406015038,141.96834586466164,67.56312030075188,33.52255639097744,33.785964912280704,67.00201754385965
252,1,67.11221177944863,117.56598370927318,141.35073308270677,67.73615288220552,33.61036967418546,33.99776315789474,67.11221177944863
253,1,67.17730576441103,117.85964285714286,140.97354636591479,67.83099624060151,33.911322055137845,33.94266290726817,67.17730576441103
254,1,66.86211152882206,117.45606516290727,140.7268984962406,67.47108395989974,33.63028822055138,34.122236842105266,66.86211152882206
255,1,67.58345238095238,118.23451754385965,141.9651754385965,68.21630325814536,34.11225563909775,33.79661654135338,67.58345238095238
256,1,66.98679824561404,118.10530701754386,141.03078947368422,67.60494987468671,33.861804511278194,33.73075187969925,66.98679824561404
257,1,60.38296365914787,118.73318922305765,140.5022305764411,61.15353383458647,31.915100250626566,30.151447368421053,60.38296365914787
258,1,67.04102130325815,118.15299498746867,141.50178571428572,67.63303884711779,33.787725563909774,33.72601503759398,67.04102130325815
259,1,60.13543859649123,118.46171679197995,140.3984837092732,60.950532581453636,31.837882205513786,30.185814536340853,60.13543859649123
260,1,66.56803258145364,117.53866541353383,141.57143483709274,67.1850939849624,33.30204260651629,33.769003759398494,66.56803258145364
261,1,60.692449874686716,119.11268170426065,141.45493107769423,61.42808897243108,32.05028195488722,29.850864661654136,60.692449874686716
262,1,67.24426065162908,118.04432330827068,142.59001879699247,67.80107142857143,33.527857142857144,33.601171679197996,67.24426065162908
263,1,60.50645989974937,118.57000626566416,140.675,61.297130325814535,31.773784461152882,30.15610275689223,60.50645989974937
264,1,66.90724937343359,117.7154761904762,142.1131829573935,67.505156641604,33.40016917293233,33.746340852130324,66.90724937343359
265,1,60.21239974937343,118.72013157894737,140.97662280701755,60.99434837092732,31.74687969924812,29.964442355889723,60.21239974937343
266,1,67.17107769423559,117.94969298245614,141.64491228070176,67.75121553884712,33.55432957393484,33.73735588972431,67.17107769423559
267,1,67.1906328320802,118.12380952380953,141.9703320802005,67.77629072681704,33.727324561403506,33.63023182957394,67.1906328320802
268,1,67.02577694235589,118.01544486215539,141.20533834586467,67.60045739348371,33.77667919799499,33.82137844611529,67.02577694235589
269,1,67.18590225563909,117.71687969924812,141.8280513784461,67.7924373433584,33.55315789473684,33.86811403508772,67.18590225563909
270,1,67.40832706766918,117.83303258145364,141.66035087719297,67.98114661654135,33.71416040100251,33.93468045112782,67.40832706766918
271,1,67.44007518796992,118.09769423558897,141.36976817042606,68.02265664160402,33.83484335839599,33.921798245614035,67.44007518796992
272,1,67.39763784461152,118.07315789473684,142.27291353383458,67.97790100250627,33.67495614035088,33.73514411027569,67.39763784461152
273,1,66.63290100250626,117.44851503759398,141.70660401002507,67.2546679197995,33.21140350877193,33.87925438596491,66.63290100250626
274,1,67.26409147869674,118.04399749373434,142.63733082706767,67.84229949874687,33.44234962406015,33.740413533834584,67.26409147869674
275,1,67.04491228070175,117.92156015037594,142.06688596491227,67.64682330827068,33.439555137844614,33.67983709273183,67.04491228070175
276,1,61.058020050125315,119.23604010025063,139.85098370927318,61.80513784461153,32.405839598997495,30.20470551378446,61.058020050125315
277,1,67.61730576441103,118.04986215538847,142.0729260651629,68.18634085213033,33.8303634085213,33.90703007518797,67.61730576441103
278,1,60.67418546365915,118.60966165413534,140.31212406015038,61.458803258145366,31.96246240601504,30.207907268170427,60.67418546365915
279,1,67.14026315789474,117.8905701754386,142.3306203007519,67.7279573934837,33.41691102756892,33.76409147869674,67.14026315789474
280,1,60.49597744360902,118.90209273182957,140.41979949874687,61.23494987468672,31.913383458646617,30.157537593984962,60.49597744360902
281,1,67.49192355889724,118.21960526315789,142.71171052631578,68.02940476190476,33.57734962406015,33.538715538847114,67.49192355889724
282,1,60.33124060150376,118.68082080200502,140.88239348370928,61.15979323308271,31.846503759398495,29.968640350877195,60.33124060150376
283,1,67.17359649122807,117.78528195488722,143.02400375939848,67.75393483709273,33.23078947368421,33.72513784461153,67.17359649122807
284,1,59.89507518796992,118.60470551378447,140.75263784461154,60.72262531328321,31.71501879699248,29.984041353383457,59.89507518796992
285,1,67.38109649122806,117.87544486215539,143.2393859649123,67.96221177944862,33.3271052631579,33.62390350877193,67.38109649122806
286,1,67.34810776942356,118.0995426065163,143.19328947368422,67.99339598997494,33.561497493734336,33.48948621553885,67.34810776942356
287,1,67.73796992481203,118.06948621553884,143.26243107769423,68.28260651629073,33.462575187969925,33.63624686716792,67.73796992481203
288,1,67.22658521303258,117.50516917293233,142.93928571428572,67.84163533834587,33.11400375939849,33.79766290726817,67.22658521303258
289,1,66.98302005012532,117.41224937343358,143.0522117794486,67.57248746867168,33.00951127819549,33.767875939849624,66.98302005012532
290,1,67.43920426065164,118.07426691729323,143.0940037593985,68.01630952380953,33.42079573934837,33.44296992481203,67.43920426065164
291,1,66.7306954887218,117.73483082706767,142.1622619047619,67.32055137844611,33.10236842105263,33.61218671679198,66.7306954887218
292,1,66.9955388471178,117.81642857142857,143.14785714285713,67.59043233082707,33.11971177944862,33.43967418546366,66.9955388471178
293,1,67.70100877192982,118.01729949874687,141.56756892230575,68.27367167919799,34.02543859649123,33.95668546365915,67.70100877192982
294,1,67.6888909774436,118.00568295739349,141.11322055137845,68.3074686716792,34.01736215538847,34.227380952380955,67.6888909774436
295,1,61.47295112781955,119.0117543859649,139.83770050125312,62.190025062656645,32.59530701754386,30.717750626566417,61.47295112781955
296,1,67.75802631578948,117.67670426065163,141.2577067669173,68.34881578947369,33.945758145363406,34.339636591478694,67.75802631578948
297,1,61.45075814536341,119.17215538847118,139.4343984962406,62.23340852130326,32.89464912280702,30.701472431077693,61.45075814536341
298,1,67.7149373433584,117.91117167919799,139.85866541353383,68.3429761904762,34.47111528822055,34.501422305764414,67.7149373433584
299,1,61.36301378446115,118.44711152882205,139.04822055137845,62.20206766917293,32.66673558897243,31.025908521303258,61.36301378446115
300,1,67.93152255639097,118.0664536340852,143.1603822055138,68.52746240601503,33.52239348370927,33.793377192982454,67.93152255639097
301,1,60.80392857142857,118.92793233082706,141.64406015037594,61.54924185463659,31.820213032581453,30.040701754385964,60.80392857142857
302,1,67.51280701754386,118.30941729323308,143.58243107769422,68.05655388471178,33.32093984962406,33.39553884711779,67.51280701754386
303,1,59.90002506265664,118.61651002506265,141.21905388471177,60.727462406015036,31.523345864661653,29.732919799498745,59.90002506265664
304,1,67.27508145363409,117.77142230576442,143.6942230576441,67.79174812030075,32.98329573934837,33.58639097744361,67.27508145363409
305,1,67.81488095238095,118.16079573934837,144.07830200501252,68.35043859649123,33.21689223057644,33.51521303258146,67.81488095238095
306,1,67.69098370927318,118.24054511278196,144.28574561403508,68.23750626566417,33.250701754385965,33.340382205513784,67.69098370927318
307,1,67.95005012531328,118.23228696741855,144.66219298245613,68.48525689223058,33.31511904761905,33.27247493734336,67.95005012531328
308,1,67.62788847117794,117.9036090225564,143.68416040100252,68.19105263157894,33.24077694235589,33.57919799498747,67.62788847117794
309,1,67.71763157894736,117.93325814536341,143.8087656641604,68.27340852130325,33.28504385964912,33.55293233082707,67.71763157894736
310,1,67.65544486215539,117.97969298245614,144.33733709273184,68.21540726817042,33.20046365914787,33.381685463659146,67.65544486215539
311,1,67.97742481203008,118.34712406015038,144.63338972431077,68.47781328320802,33.23702380952381,33.313063909774435,67.97742481203008
312,1,67.9256954887218,118.33048245614034,144.51252506265664,68.4678320802005,33.350971177944864,33.43748746867168,67.9256954887218
313,1,67.9010275689223,118.10045112781955,144.30046992481203,68.44174812030076,33.24501253132832,33.402111528822054,67.9010275689223
314,1,61.142907268170426,119.12998120300752,141.87856516290728,61.89197994987469,31.995062656641604,30.00329573934837,61.142907268170426
315,1,68.05438596491229,118.34007518796993,144.82477443609022,68.63151629072682,33.36618421052631,33.360093984962404,68.05438596491229
316,1,61.39936090225564,119.30618421052631,143.42780701754387,62.08720551378446,31.785889724310778,29.620388471177947,61.39936090225564
317,1,67.73070175438596,118.24577067669173,144.84577694235588,68.27362781954888,33.24103383458647,33.31131578947368,67.73070175438596
318,1,61.51744360902256,119.23892857142857,143.29119674185463,62.212857142857146,31.72249373433584,29.842412280701755,61.51744360902256
319,1,68.1217418546366,118.17308897243107,144.95197368421051,68.66607769423558,33.22842105263158,33.42639724310777,68.1217418546366
320,1,61.07406015037594,119.05850877192982,142.351171679198,61.79477443609022,31.698045112781955,29.758872180451128,61.07406015037594
321,1,68.07923558897244,118.28203634085213,144.31555764411027,68.57434837092732,33.21118421052632,33.36869047619047,68.07923558897244
322,1,60.44766290726817,118.96733082706767,143.06914160401,61.15263157894737,31.238508771929826,29.48937343358396,60.44766290726817
323,1,67.52981829573935,117.94218671679198,144.96041979949874,68.0929761904762,32.86857769423559,33.31263157894737,67.52981829573935
324,1,60.72519423558897,119.65188596491228,143.608164160401,61.41583333333333,31.58390350877193,29.23295739348371,60.72519423558897
325,1,68.54579573934836,118.66820802005013,145.56803258145362,69.0461090225564,33.42013784461153,33.05078947368421,68.54579573934836
326,1,68.51288847117794,118.42387218045113,146.64021929824563,69.0052380952381,33.0689724310777,32.9290664160401,68.51288847117794
327,1,67.62494987468672,117.93770676691729,144.89606516290726,68.16559523809524,32.82062656641604,33.390281954887215,67.62494987468672
328,1,68.08115288220552,117.884335839599,145.8576441102757,68.62342731829574,32.831729323308274,33.43022556390977,68.08115288220552
329,1,67.57971804511278,117.81995614035088,144.4415789473684,68.12611528822055,32.89701754385965,33.41558270676692,67.57971804511278
330,1,67.90169799498747,118.05088345864662,144.70835839598996,68.43050125313283,33.10998120300752,33.32156015037594,67.90169799498747
331,1,68.14407894736843,118.10902255639098,145.2225187969925,68.67925438596491,33.04237468671679,33.29204260651629,68.14407894736843
332,1,67.88418546365915,118.24700501253133,145.58098997493735,68.40491854636592,32.82402255639098,33.22347117794486,67.88418546365915
333,1,67.99474937343358,117.94377192982456,145.6446052631579,68.47923558897243,32.824003759398494,33.49214285714286,67.99474937343358
334,1,68.40976817042606,118.00770050125313,146.46138471177946,68.93944862155388,32.81154135338346,33.218671679197996,68.40976817042606
335,1,61.25547619047619,118.9238909774436,143.7447807017544,61.93385964912281,31.34282581453634,29.800369674185465,61.25547619047619
336,1,68.1899373433584,118.39125313283208,146.25987468671678,68.69995614035088,32.842562656641604,33.126453634085216,68.1899373433584
337,1,61.27208646616541,119.01227443609022,143.93796992481202,61.947600250626564,31.245864661654135,29.819949874686717,61.27208646616541
338,1,68.60970551378446,118.30520050125314,146.54796365914788,69.10644110275689,32.900852130325816,33.224812030075185,68.60970551378446
339,1,61.10633458646617,118.52625313283208,143.88922932330826,61.8421992481203,31.19953007518797,29.80329573934837,61.10633458646617
340,1,68.6928947368421,118.28429197994987,147.00677944862156,69.16676065162908,32.82448621553885,33.20186090225564,68.6928947368421
341,1,61.21703634085213,118.77059523809524,144.41454260651628,61.86640350877193,31.006221804511277,29.673872180451127,61.21703634085213
342,1,68.48107142857143,118.21020050125313,146.4222305764411,68.9786403508772,32.7516290726817,33.29828947368421,68.48107142857143
343,1,61.60171052631579,119.39652255639098,144.8581140350877,62.21730576441103,31.276021303258144,29.413934837092732,61.60171052631579
344,1,68.5272305764411,117.88260025062657,147.18530701754386,69.01692355889725,32.414962406015036,33.381303258145365,68.5272305764411
345,1,60.69857142857143,118.90402882205514,144.78848370927318,61.40687969924812,30.85502506265664,29.311785714285715,60.69857142857143
346,1,69.0422305764411,118.48318295739348,147.89364661654136,69.4740977443609,32.66939223057644,33.12296365914787,69.0422305764411
347,1,68.75791353383458,117.90535087719299,147.06038847117796,69.24256892230576,32.491046365914784,33.427393483709274,68.75791353383458
348,1,68.71005639097744,118.13721177944862,147.2979761904762,69.1881954887218,32.5228320802005,33.238496240601506,68.71005639097744
349,1,68.92944235588972,118.2521365914787,147.36538220551378,69.42229323308271,32.73614035087719,33.140426065162906,68.92944235588972
350,1,68.57159147869675,117.74860275689223,147.4294799498747,69.08127192982457,32.40187969924812,33.31893483709273,68.57159147869675
351,1,68.64823934837092,117.65802005012532,148.257656641604,69.16203634085213,32.06627192982456,33.3584335839599,68.64823934837092
352,1,69.86632205513784,118.52606516290727,149.0034962406015,70.3190037593985,32.8234335839599,33.08223684210526,69.86632205513784
353,1,69.04829573934838,117.818164160401,147.00954887218046,69.54744360902255,32.5725,33.56134085213033,69.04829573934838
354,1,69.50866541353383,117.96956140350878,148.39217418546366,69.96513157894736,32.399085213032585,33.51186090225564,69.50866541353383
355,1,69.65345864661654,117.9875313283208,149.03950501253132,70.10627819548873,32.37627819548872,33.32744360902256,69.65345864661654
356,1,69.55872807017543,117.98011904761904,148.88990601503758,70.01855263157894,32.265206766917295,33.48651002506266,69.55872807017543
357,1,69.5676754385965,117.7678007518797,148.86486215538847,69.98469924812031,32.14919799498747,33.623308270676695,69.5676754385965
358,1,62.377694235588976,118.82646616541354,146.25615288220553,62.97884711779449,30.970401002506264,29.860827067669174,62.377694235588976
359,1,69.90448621553885,117.69461779448622,149.2919611528822,70.35706140350877,32.26595238095238,33.687080200501256,69.90448621553885
360,1,62.36669172932331,118.76152882205514,146.20902255639098,62.967092731829574,30.835275689223057,29.962318295739347,62.36669172932331
361,1,70.26549498746867,117.88107142857143,149.34182330827068,70.73125939849623,32.52682330827068,33.510294486215535,70.26549498746867
362,1,63.12555764411027,119.17006892230576,147.5029448621554,63.66437343358396,30.940588972431076,29.844279448621553,63.12555764411027
363,1,70.35196741854637,118.13911654135339,150.25991854636592,70.79951127819548,32.40144110275689,33.4055701754386,70.35196741854637
364,1,62.38203634085213,118.47052005012532,146.44165413533835,63.03340852130326,30.70270676691729,30.065664160401003,62.38203634085213
365,1,70.14709273182957,118.08689223057644,150.8362030075188,70.53721804511278,32.01369674185464,33.2487656641604,70.14709273182957
366,1,62.64040726817043,118.65299498746867,147.7725939849624,63.23028822055138,30.517788220551378,29.7340350877193,62.64040726817043
367,1,70.91052005012531,118.01290726817042,151.1847493734336,71.33906015037594,32.22076441102757,33.45297619047619,70.91052005012531
368,1,62.926629072681706,118.68053884711779,148.15581453634084,63.48790100250626,30.569642857142856,29.803245614035088,62.926629072681706
369,1,71.32167919799498,117.87792606516291,152.26199874686716,71.72359022556391,31.93657268170426,33.448189223057646,71.32167919799498
370,1,62.93832080200501,118.83093984962406,148.4296240601504,63.50542606516291,30.441948621553884,29.878333333333334,62.93832080200501
371,1,71.31862781954887,117.75119047619047,152.0403007518797,71.71194235588972,31.90065789473684,33.723239348370925,71.31862781954887
372,1,71.83992481203008,117.73656015037594,152.8200501253133,72.25941102756892,31.938339598997494,33.54463032581454,71.83992481203008
373,1,71.98150375939849,117.76752506265665,154.010156641604,72.33733709273183,31.645582706766916,33.7249373433584,71.98150375939849
374,1,72.251328320802,117.9988596491228,153.3564223057644,72.6172932330827,31.91699874686717,33.588095238095235,72.251328320802
375,1,72.49426065162908,117.87823308270677,153.2431954887218,72.8770739348371,32.01444862155388,33.829855889724314,72.49426065162908
376,1,72.74532581453634,117.82500626566416,153.9594486215539,73.12977443609023,31.90266917293233,33.75295112781955,72.74532581453634
377,1,73.11603383458646,117.97640350877192,153.97911027568924,73.46201754385964,31.97469298245614,33.821447368421055,73.11603383458646
378,1,73.34625939849624,118.31681704260652,154.40747493734335,73.69550751879699,32.25479949874687,33.70904761904762,73.34625939849624
379,1,73.23029448621554,118.06288220551379,155.617343358396,73.58979949874687,31.684799498746866,33.55517543859649,73.23029448621554
380,1,73.57823308270677,117.83850877192982,155.44456140350877,73.89983709273183,31.694962406015037,33.876027568922304,73.57823308270677
381,1,74.1992731829574,118.07793859649122,155.99983709273184,74.52238095238096,31.8665350877193,33.8453320802005,74.1992731829574
382,1,74.21078947368422,117.84901002506265,156.64583333333334,74.53436090225564,31.61672305764411,33.915845864661655,74.21078947368422
383,1,74.48144110275689,118.0546052631579,156.25852756892232,74.78542606516291,31.734511278195487,33.9400313283208,74.48144110275689
384,1,75.02575814536341,117.64308270676692,157.23177944862155,75.37474937343359,31.56747493734336,34.236672932330826,75.02575814536341
385,1,74.9852694235589,117.5675,156.36616541353382,75.32251879699248,31.7040664160401,34.60362781954887,74.9852694235589
386,1,75.8269298245614,117.72971177944862,157.41703007518797,76.13790100250627,31.76795739348371,34.380526315789474,75.8269298245614
387,1,76.06113408521303,117.72759398496241,157.4804260651629,76.37532581453634,31.836008771929823,34.57598997493734,76.06113408521303
388,1,76.74334586466165,117.9291604010025,158.2646177944862,77.06540726817043,31.91291979949875,34.60655388471178,76.74334586466165
389,1,67.85723684210527,118.51597744360902,154.82472431077693,68.29184210526316,30.18267543859649,30.795244360902256,67.85723684210527
390,1,77.26462406015038,117.73357142857142,159.57921679197995,77.5315664160401,31.578997493734335,34.64167919799499,77.26462406015038
391,1,68.59618421052632,118.5495426065163,155.63553258145365,69.01394736842106,30.330996240601504,30.92981829573935,68.59618421052632
392,1,78.54991228070176,117.75848997493735,160.34865914786968,78.82006265664161,31.73483082706767,34.9844298245614,78.54991228070176
393,1,69.84784461152883,119.11117794486215,157.3882894736842,70.22837719298245,30.65452380952381,30.67847117794486,69.84784461152883
394,1,79.51164786967419,117.81314536340852,161.1222807017544,79.80284461152883,31.78828947368421,35.14255639097745,79.51164786967419
395,1,70.1625313283208,118.49901002506266,158.14561403508773,70.49319548872181,29.897286967418545,31.124486215538848,70.1625313283208
396,1,80.55624060150376,117.77044486215539,163.28209273182958,80.81220551378446,31.38012531328321,35.22615914786967,80.55624060150376
397,1,71.19295739348371,118.76220551378447,159.23627192982457,71.56983082706768,30.32266917293233,31.019141604010024,71.19295739348371
398,1,81.90708020050126,117.6424686716792,164.35078320802006,82.16357142857143,31.505357142857143,35.40734962406015,81.90708020050126
399,1,71.9875313283208,118.75355263157894,160.3203634085213,72.30991854636592,30.18124686716792,31.18422932330827,71.9875313283208
400,1,83.04003759398496,117.58327067669173,165.83115914786967,83.29253759398496,31.295068922305763,35.62864661654135,83.04003759398496
401,1,73.12056390977443,118.9915350877193,161.75838345864662,73.47277568922306,30.300720551378447,31.293521303258146,73.12056390977443
402,1,155.79991228070176,117.76894736842105,89.5812969924812,156.00226817042608,102.88640350877193,107.29639097744361,155.79991228070176
403,1,73.86752506265664,118.39882832080201,162.55269423558897,74.1912030075188,29.903095238095236,31.595870927318295,73.86752506265664
404,1,85.62714912280701,117.37568922305765,168.13634085213033,85.8555701754386,31.087098997493733,36.248640350877196,85.62714912280701
405,1,86.57222431077695,117.43298245614035,169.73822055137845,86.80161027568923,30.97295112781955,36.19707393483709,86.57222431077695
406,1,87.28107142857142,117.15286967418547,169.9434335839599,87.49411027568922,30.840025062656643,36.694956140350875,87.28107142857142
407,1,88.91189223057644,117.54971804511278,171.38820175438596,89.08635338345864,30.99767543859649,36.51872807017544,88.91189223057644
408,1,89.3806328320802,117.46215538847117,171.46292606516292,89.57445488721804,31.039611528822054,36.798790726817046,89.3806328320802
409,1,90.90818295739348,117.65669172932331,172.86647869674186,91.07198621553884,31.052562656641605,36.865664160401,90.90818295739348
410,1,91.77664160401002,117.3218045112782,173.00343984962407,91.9493671679198,31.051121553884713,37.52854010025062,91.77664160401002
411,1,92.44324561403509,117.1562343358396,173.4284962406015,92.61235588972431,30.97218045112782,37.81125313283208,92.44324561403509
412,1,93.770664160401,117.39270050125313,174.07374060150377,93.94588972431077,31.187293233082706,37.73946115288221,93.770664160401
413,1,95.1065664160401,117.20835213032582,175.7803007518797,95.29069548872181,30.978822055137844,38.03337719298246,95.1065664160401
414,1,96.11005012531328,117.21937343358395,176.06597744360903,96.26912280701754,31.044573934837093,38.30357769423559,96.11005012531328
415,1,97.70467418546366,117.28678571428571,177.2135902255639,97.8493984962406,31.096541353383458,38.42222431077694,97.70467418546366
416,1,98.82811403508772,117.16076441102757,178.16166666666666,98.98098370927319,30.889880952380953,38.7156015037594,98.82811403508772
417,1,100.46733709273182,117.29938596491228,178.9136090225564,100.59057644110275,30.97717418546366,38.946835839599,100.46733709273182
418,1,101.7525939849624,117.21976190476191,180.09019423558897,101.88939223057645,30.878107769423558,39.23467418546366,101.7525939849624
419,1,103.38075187969925,116.99038847117795,180.91181704260651,103.5187030075188,30.68578947368421,39.712713032581455,103.38075187969925
420,1,105.34333959899749,117.1812343358396,182.66391604010025,105.47949248120301,30.69937969924812,39.75477443609022,105.34333959899749
421,1,106.25661654135338,117.07087719298245,182.6952568922306,106.39353383458646,30.70001253132832,40.25597744360902,106.25661654135338
